Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
4,BOLIVIA - DIVISION PROFESIONAL,2024-11-26,01:00,Oriente Petrolero,Santa Cruz,1.36,4.4,6.5,1.3,3.4,1.2,4.33,1.67,2.15,1.83,1.83,0.7353,0.2273,0.1538,0.7692,0.2941,0.8333,0.2309,0.5988,0.4651,0.5464,0.5464,0.3091,0.2092,3.2353,0.6769,4.7794,1.4773,5.14,3.04,2.1,68.7387,56.6593,46.3972,0.7908,0.6909,0.3231,1.4201,0.9839,0.5386,2.1053,0.6557,0.9541,-1.6156,-0.8209,0.9212,1.2535,0.2645,1.845,0.6675,1.1324,1.1521,0.599,1.5387,1.3379,0.5496,0.9725,0.883,1.1325,2.1652,0.6213,2.9401,0.2404,3.393,0.1831,1.8971,0.1648,16.2827,0.0488,1.1401,0.1672,0.4407,0.1259,0.8543,0.1,1.0836,0.156,0.7407,0.1131,0.3827,0.1408,0.5664,0.0311,0.6298,0.0778,0.5421,0.0271,0.5028,0.0493,0.5658,0.0288,0.1672,0.0502,11.14,14.14,26.0,20.29,28.57,14.29,28.57,42.86,57.14,57.14,28.57,14.29,28.57,42.86,85.71,85.71,14.29,14.29,42.86,42.86,57.14,57.14,57.14,85.71,14.29,0.0,85.71,100.0,42.86,14.29,42.86,57.14,57.14,42.86,28.57,0.0,42.86,14.29,57.14,57.14,57.14,85.71,228.4253,0.6743,352.3608,0.2727
1,ARGENTINA - TORNEO BETANO,2024-11-26,01:15,Argentinos Jrs,Barracas Central,1.5,3.8,7.0,1.53,2.38,1.44,2.63,2.4,1.53,2.5,1.5,0.6667,0.2632,0.1429,0.6536,0.4202,0.6944,0.3802,0.4167,0.6536,0.4,0.6667,0.3947,0.2143,2.5333,0.5429,4.6667,1.8421,5.5,2.3,3.2,70.0169,48.9909,57.9946,0.7857,0.6053,0.4571,1.8945,0.6617,1.2047,1.1166,1.1205,0.4394,-0.1012,-5.6383,0.2825,2.6758,0.1534,2.4641,0.113,3.3451,0.5605,1.4037,1.3465,1.0872,0.5953,0.8979,0.226,3.3447,0.6965,1.0853,3.0571,0.1454,2.9643,0.2606,0.4786,1.7158,10.5744,0.0263,0.8714,0.1053,0.2893,0.28,0.3,0.6463,0.575,0.159,0.6513,0.0453,0.6086,0.0519,0.2285,0.1698,0.3539,0.0916,0.3451,0.2205,0.3655,0.061,0.4571,0.0466,0.1501,0.0646,19.14,2.14,29.43,20.86,0.0,14.29,42.86,42.86,14.29,42.86,14.29,0.0,0.0,28.57,28.57,42.86,71.43,57.14,14.29,28.57,85.71,71.43,57.14,28.57,42.86,14.29,57.14,85.71,42.86,71.43,28.57,14.29,71.43,85.71,14.29,0.0,42.86,28.57,42.86,57.14,14.29,57.14,168.9295,1.135,305.3492,0.5018
2,ARGENTINA - TORNEO BETANO,2024-11-26,01:15,Belgrano,Ind. Rivadavia,1.91,3.2,4.2,1.57,2.25,1.5,2.5,2.6,1.48,2.2,1.62,0.5236,0.3125,0.2381,0.6369,0.4444,0.6667,0.4,0.3846,0.6757,0.4545,0.6173,0.5969,0.4548,1.6754,0.7619,2.199,1.3125,2.29,1.29,1.0,48.8673,32.822,26.5651,0.5452,0.4031,0.2381,1.934,0.6675,0.2631,1.8548,0.4015,0.5275,-1.574,-0.6231,0.1294,2.9212,0.5371,0.9952,0.1062,3.5593,1.0473,0.7796,1.0899,0.6332,0.5371,0.9952,0.6884,0.7089,2.1111,0.4737,2.9314,0.1899,3.335,0.4092,1.3786,1.2216,12.4487,0.0247,0.7752,0.1354,0.3873,0.2905,0.4895,0.4286,1.1016,0.0792,0.6353,0.0541,0.4448,0.2945,0.1978,0.1775,0.2649,0.1182,0.5212,0.0566,0.5601,0.0832,0.4075,0.0658,0.2033,0.0502,55.0,42.14,16.14,37.29,14.29,42.86,71.43,14.29,14.29,85.71,14.29,14.29,57.14,57.14,28.57,100.0,71.43,0.0,0.0,57.14,100.0,42.86,57.14,100.0,0.0,0.0,100.0,100.0,42.86,0.0,28.57,42.86,71.43,57.14,14.29,28.57,57.14,0.0,85.71,57.14,71.43,100.0,279.7621,0.4649,275.0763,0.4504
6,COSTA RICA - PRIMERA DIVISION,2024-11-26,03:00,Santa Ana,Guanacasteca,2.4,3.3,2.62,1.4,2.75,1.3,3.4,2.0,1.8,1.8,1.91,0.4167,0.303,0.3817,0.7143,0.3636,0.7692,0.2941,0.5,0.5556,0.5556,0.5236,0.7273,0.916,1.375,1.2595,1.0917,0.7939,0.22,0.9,0.68,6.2773,24.2277,-18.778,0.084,0.2727,0.2595,,,1.3558,0.8363,,,-0.2745,-5.3927,,,0.6447,1.7259,,,0.9194,1.3635,,,1.0894,0.9813,,,1.3638,1.0734,,,5.4785,0.111,,,10.1073,0.0636,,,0.6774,0.1432,,,0.7488,0.0737,,,0.7088,0.2391,,,0.5773,0.053,,,0.5527,0.0434,,,0.2119,0.0774,,,33.71,36.43,,14.29,,42.86,,42.86,,14.29,,42.86,,57.14,,42.86,,42.86,,57.14,,71.43,,14.29,,85.71,,28.57,,42.86,,57.14,,28.57,,28.57,,57.14,,71.43,,,232.796,0.6799
25,URUGUAY - PRIMERA DIVISION,2024-11-26,13:45,River Plate,CA Cerro,2.15,3.2,3.1,1.5,2.5,1.36,3.0,2.2,1.65,1.83,1.83,0.4651,0.3125,0.3226,0.6667,0.4,0.7353,0.3333,0.4545,0.6061,0.5464,0.5464,0.6719,0.6935,1.4884,1.0323,1.4419,0.9688,0.95,1.05,0.1,25.4077,27.6995,-2.8624,0.3065,0.3281,0.0323,0.5243,2.5657,1.4622,1.034,-0.4491,-0.77,-0.125,-6.0624,0.043,8.7907,0.7087,1.0666,0.1792,2.7232,0.578,1.3612,0.5243,2.5657,1.0138,0.9864,0.9734,0.3883,1.1388,0.9387,1.7444,0.8404,3.3714,0.1649,2.4289,0.4071,6.6082,0.1295,0.8136,0.2096,0.6362,0.1223,0.5993,0.1947,0.7077,0.1735,0.4422,0.2892,0.6133,0.0318,0.4535,0.0432,0.403,0.0352,0.5051,0.0608,0.5216,0.0351,0.4844,0.0613,0.2725,0.0294,34.43,43.86,26.86,27.14,14.29,28.57,42.86,42.86,57.14,57.14,0.0,28.57,42.86,42.86,42.86,85.71,57.14,14.29,0.0,28.57,100.0,71.43,57.14,57.14,0.0,0.0,100.0,100.0,42.86,42.86,28.57,28.57,71.43,71.43,14.29,42.86,28.57,42.86,57.14,71.43,85.71,71.43,227.2963,0.5643,319.8418,0.3166
17,ROMANIA - LIGA 2,2024-11-26,16:00,Steaua Bucuresti,Chindia Targoviste,1.54,3.8,5.4,1.34,2.95,1.29,3.45,1.98,1.78,2.04,1.72,0.6494,0.2632,0.1852,0.7463,0.339,0.7752,0.2899,0.5051,0.5618,0.4902,0.5814,0.4053,0.2852,2.4675,0.7037,3.5065,1.4211,3.86,2.26,1.6,62.6098,48.4926,38.6598,0.7148,0.5947,0.2963,1.6463,0.6493,0.4968,2.9467,0.4893,0.4989,-0.969,-0.8389,0.5191,1.5157,0.3896,2.5049,0.2218,2.2002,0.9778,0.7058,0.8422,1.1874,0.9414,1.1355,0.353,2.2289,1.9105,0.7914,2.1558,0.3217,4.0429,0.0497,0.7529,0.2292,7.6,0.0486,0.8325,0.285,0.7995,0.1358,0.4754,0.1125,0.9424,0.0913,0.5955,0.1283,0.4099,0.2015,0.3604,0.0788,0.3759,0.0362,0.494,0.0192,0.5897,0.0317,0.5222,0.0442,0.3134,0.1503,23.29,8.71,38.0,19.71,14.29,14.29,42.86,57.14,14.29,42.86,28.57,14.29,28.57,42.86,42.86,85.71,57.14,14.29,28.57,28.57,71.43,71.43,42.86,57.14,42.86,0.0,57.14,100.0,57.14,42.86,28.57,57.14,71.43,42.86,28.57,14.29,42.86,28.57,57.14,71.43,28.57,71.43,165.3811,1.0891,315.4779,0.0249
21,SOUTH AFRICA - PREMIERSHIP,2024-11-26,18:30,Chippa Utd.,Supersport Utd,3.1,2.9,2.3,1.54,2.3,1.52,2.45,2.75,1.43,2.18,1.63,0.3226,0.3448,0.4348,0.6494,0.4348,0.6579,0.4082,0.3636,0.6993,0.4587,0.6135,1.069,1.3478,0.9355,1.2609,0.7419,0.7931,0.8,0.2,0.6,-21.8014,-5.7106,-16.6992,0.3478,0.069,0.2609,1.6475,0.9734,0.5269,2.1118,0.1621,4.2887,-0.9502,-0.7052,0.8192,0.8424,0.1456,5.1916,0.5481,1.4355,0.631,0.8471,1.0667,0.8434,0.554,1.3644,0.9047,0.9945,1.5042,0.5231,3.116,0.1435,1.6356,0.355,2.726,0.1968,6.2286,0.0795,0.7494,0.1257,0.3622,0.3832,0.6066,0.1292,0.7194,0.1668,0.6437,0.0205,0.5199,0.1852,0.2482,0.0145,0.3131,0.0668,0.4672,0.0597,0.4335,0.1716,0.356,0.0393,0.2959,0.1669,19.57,29.29,30.43,32.57,28.57,14.29,42.86,42.86,57.14,57.14,42.86,0.0,28.57,42.86,85.71,71.43,14.29,28.57,42.86,14.29,57.14,85.71,71.43,71.43,0.0,0.0,100.0,100.0,28.57,28.57,28.57,28.57,71.43,71.43,57.14,14.29,57.14,14.29,71.43,57.14,57.14,85.71,352.3665,0.0223,265.1788,0.4807
20,SOUTH AFRICA - PREMIERSHIP,2024-11-26,18:30,Royal AM,Golden Arrows,2.15,3.0,3.25,1.48,2.45,1.43,2.7,2.43,1.52,2.0,1.74,0.4651,0.3333,0.3077,0.6757,0.4082,0.6993,0.3704,0.4115,0.6579,0.5,0.5747,0.7167,0.6615,1.3953,0.9231,1.5116,1.0833,1.1,0.85,0.25,28.8108,23.0255,7.125,0.3385,0.2833,0.0769,0.8264,1.2936,1.3468,1.1226,-0.4037,-1.7716,-1.0476,-1.8892,0.1466,2.5784,0.1317,2.8702,0.3952,1.2348,0.9313,1.1479,0.4583,1.7168,1.13,0.946,0.8621,0.8768,2.1776,1.1249,1.5287,0.5834,4.9856,0.2026,4.0714,0.37,12.2308,0.0378,0.3805,0.4008,0.6089,0.0655,0.5233,0.2605,1.2517,0.0447,0.6806,0.0599,0.6161,0.0907,0.2742,0.0543,0.3722,0.108,0.4138,0.0611,0.4509,0.0643,0.3324,0.0364,0.2178,0.1905,18.43,28.43,45.14,19.29,0.0,14.29,28.57,57.14,42.86,42.86,14.29,0.0,14.29,42.86,42.86,71.43,57.14,28.57,0.0,14.29,100.0,85.71,42.86,85.71,28.57,0.0,71.43,100.0,57.14,14.29,0.0,42.86,100.0,57.14,14.29,14.29,14.29,42.86,28.57,71.43,57.14,71.43,212.7223,0.8108,315.6741,0.3176
19,SOUTH AFRICA - PREMIERSHIP,2024-11-26,18:30,Sekhukhune,TS Galaxy,2.05,2.9,3.7,1.54,2.32,1.53,2.43,2.75,1.42,2.28,1.58,0.4878,0.3448,0.2703,0.6494,0.431,0.6536,0.4115,0.3636,0.7042,0.4386,0.6329,0.7069,0.5541,1.4146,0.7838,1.8049,1.2759,1.65,0.85,0.8,39.5226,23.0255,21.8014,0.4459,0.2931,0.2162,1.4964,0.8377,0.4564,1.1711,0.2904,0.7872,-0.5436,-0.3904,0.2185,2.2334,0.2704,1.8047,0.4936,1.0829,0.6802,0.7174,0.7841,0.8801,0.5785,1.3601,0.4936,1.0829,1.1221,0.615,1.8071,0.586,2.0429,0.1632,0.6,0.771,3.6471,0.09,0.7632,0.215,0.5356,0.1012,0.406,0.1377,0.8213,0.0843,0.516,0.0409,0.6717,0.0572,0.2241,0.0348,0.2385,0.07,0.3868,0.1613,0.5482,0.1007,0.5264,0.0678,0.357,0.051,33.43,9.29,17.29,29.57,0.0,0.0,71.43,42.86,14.29,42.86,28.57,28.57,28.57,42.86,71.43,71.43,28.57,28.57,0.0,28.57,100.0,71.43,42.86,42.86,14.29,14.29,85.71,85.71,57.14,57.14,0.0,28.57,100.0,71.43,28.57,0.0,42.86,0.0,71.43,42.86,42.86,85.71,265.7815,0.5982,240.1935,0.6518
15,NETHERLANDS - EERSTE DIVISIE,2024-11-26,20:00,Jong Utrecht,Excelsior,4.8,4.2,1.53,1.25,3.75,1.14,5.5,1.5,2.5,1.57,2.25,0.2083,0.2381,0.6536,0.8,0.2667,0.8772,0.1818,0.6667,0.4,0.6369,0.4444,1.1429,3.1373,0.875,2.7451,0.3188,0.3643,3.27,0.6,2.67,-58.5492,-16.6992,-53.1645,2.1373,0.1429,1.7451,0.5696,1.9907,1.599,0.8739,-1.3666,-0.4925,0.6441,1.8303,0.4387,1.7935,0.6181,1.8002,0.8313,0.8301,0.325,2.3258,0.8734,1.6761,1.9913,0.8418,2.24,0.4967,1.3472,0.9445,2.7712,0.2171,4.8528,0.1428,6.5781,0.0526,2.117,0.1974,0.6884,0.1457,1.3114,0.1511,1.4027,0.0893,0.7399,0.0777,0.5913,0.0428,0.6109,0.0963,0.649,0.0484,0.7757,0.0523,0.5217,0.0629,0.5535,0.0591,0.3767,0.0807,0.4799,0.1559,22.14,26.0,33.71,40.14,28.57,42.86,14.29,42.86,85.71,42.86,0.0,14.29,42.86,57.14,100.0,57.14,0.0,42.86,28.57,28.57,71.43,71.43,85.71,85.71,0.0,0.0,100.0,100.0,14.29,14.29,57.14,71.43,42.86,28.57,28.57,42.86,14.29,42.86,42.86,85.71,100.0,71.43,305.5246,0.3131,287.6335,0.4609
