Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Ov05,HT_Odd_Un05,FT_Odd_Ov15,FT_Odd_Un15,FT_Odd_Ov25,FT_Odd_Un25,FT_Odd_BTTS_Y,FT_Odd_BTTS_N,Prob_H,Prob_D,Prob_A,Prob_Ov05_HT,Prob_Un05_HT,Prob_Ov15_FT,Prob_Un15_FT,Prob_Ov25_FT,Prob_Un25_FT,Prob_BTTS_Y_FT,Prob_BTTS_N_FT,H_D,H_A,D_H,D_A,A_H,A_D,Dif_Abs_HomeAway,Dif_Abs_HomeDraw,Dif_Abs_DrawAway,Angle_HomeAway,Angle_HomeDraw,Angle_DrawAway,Dif_Perc_HomeAway,Dif_Perc_HomeDraw,Dif_Perc_DrawAway,Media_Ptos_Home,CV_Ptos_Home,Media_Ptos_Away,CV_Ptos_Away,Media_SG_Home,CV_SG_Home,Media_SG_Away,CV_SG_Away,Media_GM_Home_1P,CV_GM_Home_1P,Media_GM_Away_1P,CV_GM_Away_1P,Media_GS_Home_1P,CV_GS_Home_1P,Media_GS_Away_1P,CV_GS_Away_1P,Media_GM_Home,CV_GM_Home,Media_GM_Away,CV_GM_Away,Media_GS_Home,CV_GS_Home,Media_GS_Away,CV_GS_Away,Media_CGM_Home_01,CV_CGM_Home_01,Media_CGM_Away_01,CV_CGM_Away_01,Media_CGS_Home_01,CV_CGS_Home_01,Media_CGS_Away_01,CV_CGS_Away_01,Media_CGM_Home_02,CV_CGM_Home_02,Media_CGM_Away_02,CV_CGM_Away_02,Media_CGS_Home_02,CV_CGS_Home_02,Media_CGS_Away_02,CV_CGS_Away_02,Media_RPS_MO_Home,CV_RPS_MO_Home,Media_RPS_MO_Away,CV_RPS_MO_Away,Media_RPS_OvUn_Home,CV_RPS_OvUn_Home,Media_RPS_OvUn_Away,CV_RPS_OvUn_Away,Media_RPS_BTTS_Home,CV_RPS_BTTS_Home,Media_RPS_BTTS_Away,CV_RPS_BTTS_Away,Media_Prob_Home,CV_Med_Prob_Home,Media_Prob_Away,CV_Med_Prob_Away,Med_Prim_Golo_Marcado_Home,Med_Prim_Golo_Sofrido_Home,Med_Prim_Golo_Marcado_Away,Med_Prim_Golo_Sofrido_Away,Porc_Marcou_Primeiro_Golo_Home,Porc_Marcou_Primeiro_Golo_Away,Porc_Sofreu_Primeiro_Golo_Home,Porc_Sofreu_Primeiro_Golo_Away,Porc_Marcou_Primeiro_Golo_Home_1P,Porc_Marcou_Primeiro_Golo_Away_1P,Porc_Sofreu_Primeiro_Golo_Home_1P,Porc_Sofreu_Primeiro_Golo_Away_1P,Porc_BTTS_Y_Home,Porc_BTTS_Y_Away,Porc_Over05HT_Home,Porc_Over05HT_Away,Porc_Under05HT_Home,Porc_Under05HT_Away,Porc_Over15HT_Home,Porc_Over15HT_Away,Porc_Under15HT_Home,Porc_Under15HT_Away,Porc_Over05FT_Home,Porc_Over05FT_Away,Porc_Under05FT_Home,Porc_Under05FT_Away,Porc_Over15FT_Home,Porc_Over15FT_Away,Porc_Under15FT_Home,Porc_Under15FT_Away,Porc_Over25FT_Home,Porc_Over25FT_Away,Porc_Under25FT_Home,Porc_Under25FT_Away,Porc_Home_Win_HT,Porc_Away_Win_HT,Porc_Home_Win_FT,Porc_Away_Win_FT,Porc_Score_Min_1G_Home,Porc_Score_Min_1G_Away,Porc_Took_Min_1G_Home,Porc_Took_Min_1G_Away,Med_Power_Ranking_Home,CV_pwr_Home,Med_Power_Ranking_Away,CV_pwr_Away
5,BRAZIL - SERIE A BETANO,2024-11-27,00:00,Fortaleza,Flamengo RJ,3.0,3.2,2.3,1.5,2.5,1.4,3.0,2.25,1.62,1.95,1.8,0.3333,0.3125,0.4348,0.6667,0.4,0.7143,0.3333,0.4444,0.6173,0.5128,0.5556,0.9375,1.3043,1.0667,1.3913,0.7667,0.7187,0.7,0.2,0.9,-19.29,5.7106,-24.2277,0.3043,0.0625,0.3913,2.0875,0.6005,0.9077,1.558,1.1171,0.4384,-0.4884,-1.3837,0.8738,0.9344,0.7261,0.6721,0.6685,0.7996,0.4419,1.2095,1.8932,0.747,1.1524,0.5988,0.7761,0.6288,1.6408,0.9214,2.543,0.1257,4.3712,0.128,1.4286,0.2777,5.3425,0.055,0.9938,0.1177,0.8843,0.2093,0.6366,0.126,0.9558,0.083,0.6006,0.0559,0.5747,0.0505,0.3375,0.0356,0.3451,0.0293,0.495,0.0754,0.5445,0.0081,0.559,0.0354,0.3401,0.1738,24.0,23.43,31.29,27.29,42.86,14.29,42.86,71.43,57.14,28.57,28.57,57.14,57.14,57.14,100.0,71.43,0.0,28.57,28.57,42.86,71.43,57.14,71.43,71.43,0.0,0.0,100.0,100.0,28.57,28.57,57.14,42.86,42.86,57.14,71.43,28.57,71.43,28.57,85.71,85.71,71.43,71.43,315.7399,0.3239,317.4328,0.3116
3,BOLIVIA - DIVISION PROFESIONAL,2024-11-27,00:30,Guabira,Tomayapo,1.62,3.7,4.5,1.36,3.0,1.22,4.0,1.75,2.05,1.8,1.91,0.6173,0.2703,0.2222,0.7353,0.3333,0.8197,0.25,0.5714,0.4878,0.5556,0.5236,0.4378,0.36,2.284,0.8222,2.7778,1.2162,2.88,2.08,0.8,55.2222,46.1233,21.8014,0.64,0.5622,0.1778,1.438,1.1152,0.623,1.8201,-0.2044,-3.5186,-1.1636,-1.1896,0.8672,1.6881,0.6124,1.2848,0.7511,1.1978,1.0759,1.0732,1.5047,1.1419,0.9155,0.9827,1.7092,0.5565,2.0791,0.921,2.9243,0.0995,3.6573,0.1463,3.063,0.2424,9.2729,0.0407,0.8876,0.1319,0.4735,0.1189,0.959,0.1224,1.045,0.1146,0.8066,0.0713,0.558,0.1471,0.5677,0.0211,0.5451,0.0934,0.5314,0.0574,0.5634,0.0412,0.4894,0.0607,0.2328,0.1035,21.71,39.29,20.57,20.57,28.57,0.0,42.86,57.14,57.14,28.57,14.29,42.86,57.14,42.86,71.43,71.43,28.57,28.57,42.86,57.14,57.14,42.86,71.43,71.43,0.0,14.29,100.0,85.71,28.57,28.57,71.43,57.14,28.57,42.86,14.29,14.29,42.86,14.29,71.43,57.14,85.71,71.43,350.9246,0.0286,301.5076,0.4336
25,URUGUAY - PRIMERA DIVISION,2024-11-27,01:00,Progreso,Penarol,8.5,4.33,1.33,1.44,2.63,1.36,3.0,2.2,1.65,2.63,1.44,0.1176,0.2309,0.7519,0.6944,0.3802,0.7353,0.3333,0.4545,0.6061,0.3802,0.6944,1.963,6.391,0.5094,3.2556,0.1565,0.3072,7.17,4.17,3.0,-74.4141,-64.3769,-56.3099,5.391,0.963,2.2556,1.0624,1.2662,1.6335,0.8962,-0.5779,-1.5838,0.8807,0.7402,0.2988,2.5298,0.6703,1.1738,0.5022,1.0643,0.4008,1.3336,0.6772,1.8512,1.9624,0.7784,1.255,0.9201,1.0817,0.8317,0.6286,1.0463,3.5629,0.1528,3.6134,0.254,1.7843,0.5218,0.3366,0.3829,1.2093,0.0876,0.5509,0.1942,0.6379,0.1154,0.6438,0.0548,0.3542,0.1911,0.4303,0.0228,0.374,0.0537,0.5078,0.0254,0.4554,0.0259,0.3876,0.0529,0.5614,0.0419,9.71,26.0,45.14,17.71,0.0,28.57,28.57,71.43,42.86,28.57,14.29,14.29,14.29,57.14,42.86,71.43,57.14,28.57,14.29,28.57,85.71,71.43,42.86,71.43,28.57,0.0,71.43,100.0,57.14,28.57,28.57,71.43,71.43,28.57,14.29,28.57,28.57,71.43,28.57,100.0,57.14,57.14,199.53,0.8537,358.7136,0.0285
1,ARGENTINA - TORNEO BETANO,2024-11-27,01:15,Sarmiento Junin,Platense,3.4,2.8,2.4,1.78,2.03,1.73,2.0,3.5,1.3,2.63,1.44,0.2941,0.3571,0.4167,0.5618,0.4926,0.578,0.5,0.2857,0.7692,0.3802,0.6944,1.2143,1.4167,0.8235,1.1667,0.7059,0.8571,1.0,0.6,0.4,-26.5651,-16.6992,-11.3099,0.4167,0.2143,0.1667,1.2034,0.7476,1.6338,0.7673,-0.0711,-4.2757,0.3415,2.0208,0.1387,2.7253,0.5985,0.8931,0.2539,1.922,0.3371,1.4476,0.4132,1.2936,1.1354,0.9415,0.4843,2.3413,0.794,0.952,1.2643,0.3794,3.1855,0.2093,2.6928,0.1298,3.0712,0.535,0.3683,0.1037,0.4767,0.1456,0.5826,0.0896,0.4053,0.4495,0.6702,0.0439,0.7376,0.0971,0.1825,0.0822,0.171,0.0439,0.4453,0.0748,0.3954,0.0867,0.308,0.0282,0.2392,0.0443,29.57,6.86,19.71,33.86,0.0,42.86,42.86,28.57,0.0,57.14,14.29,14.29,28.57,42.86,28.57,57.14,71.43,42.86,14.29,28.57,85.71,71.43,28.57,71.43,57.14,14.29,42.86,85.71,71.43,28.57,14.29,14.29,85.71,85.71,0.0,28.57,14.29,42.86,42.86,71.43,28.57,57.14,162.0441,1.0181,181.8058,0.8932
2,ARGENTINA - TORNEO BETANO,2024-11-27,01:15,Union de Santa Fe,Talleres Cordoba,2.5,3.0,3.0,1.57,2.25,1.5,2.5,2.6,1.48,2.1,1.67,0.4,0.3333,0.3333,0.6369,0.4444,0.6667,0.4,0.3846,0.6757,0.4762,0.5988,0.8333,0.8333,1.2,1.0,1.2,1.0,0.5,0.5,0.0,14.0362,14.0362,0.0,0.1667,0.1667,0.0,1.3529,1.0328,1.198,0.8347,0.3706,1.1276,-0.496,-1.2097,0.4798,1.6398,0.508,1.0522,0.2222,2.1962,0.398,1.343,0.9101,1.6085,0.7432,1.0171,0.5395,1.4584,1.2393,0.8978,2.4502,0.1738,2.5431,0.2715,1.1215,0.3201,3.2571,0.1395,0.9083,0.0994,0.5365,0.321,0.5512,0.1841,0.7508,0.1211,0.5821,0.0737,0.7543,0.0502,0.2126,0.0588,0.2461,0.1207,0.3512,0.1956,0.4223,0.0774,0.531,0.0326,0.3587,0.0446,9.29,17.71,19.86,31.71,0.0,14.29,42.86,42.86,28.57,42.86,42.86,28.57,14.29,42.86,57.14,57.14,42.86,42.86,28.57,28.57,71.43,71.43,57.14,71.43,28.57,14.29,71.43,85.71,42.86,28.57,28.57,28.57,71.43,71.43,28.57,14.29,42.86,14.29,42.86,57.14,42.86,71.43,302.3345,0.5669,229.0567,0.6756
4,BOLIVIA - DIVISION PROFESIONAL,2024-11-27,01:30,Blooming,Universitario de Vinto,1.53,3.9,5.0,1.36,3.0,1.25,3.75,1.8,2.0,1.8,1.91,0.6536,0.2564,0.2,0.7353,0.3333,0.8,0.2667,0.5556,0.5,0.5556,0.5236,0.3923,0.306,2.549,0.78,3.268,1.2821,3.47,2.37,1.1,60.0422,49.8396,28.8108,0.694,0.6077,0.22,1.8331,0.7986,1.1811,1.1389,-0.202,-4.8609,-0.2704,-2.5965,0.5995,1.5008,0.5868,1.3408,1.0391,0.6641,0.744,0.6559,1.4362,0.9609,1.1422,0.7877,1.6383,0.9878,1.4126,0.9008,3.7215,0.1333,5.9934,0.1968,1.7414,0.2165,6.0573,0.1338,1.2674,0.1307,0.7699,0.0786,0.7674,0.1561,0.8413,0.2974,0.5856,0.1585,0.7805,0.1238,0.4849,0.0412,0.4426,0.1055,0.4897,0.0421,0.5231,0.0191,0.5347,0.0492,0.254,0.0713,25.86,15.43,18.86,30.86,28.57,42.86,57.14,28.57,42.86,57.14,28.57,0.0,71.43,71.43,85.71,85.71,14.29,14.29,71.43,28.57,28.57,71.43,85.71,71.43,0.0,14.29,100.0,85.71,14.29,28.57,71.43,57.14,28.57,42.86,28.57,28.57,57.14,28.57,85.71,71.43,85.71,85.71,317.6809,0.3132,232.0564,0.6583
6,BRAZIL - SERIE A BETANO,2024-11-27,01:30,Atletico-MG,Juventude,2.45,3.2,2.8,1.53,2.38,1.44,2.75,2.35,1.57,1.95,1.8,0.4082,0.3125,0.3571,0.6536,0.4202,0.6944,0.3636,0.4255,0.6369,0.5128,0.5556,0.7656,0.875,1.3061,1.1429,1.1429,0.875,0.35,0.75,0.4,9.9262,20.556,-11.3099,0.125,0.2344,0.1429,1.4022,0.9965,0.6861,1.6218,-0.048,-11.3563,-0.6394,-1.0358,1.1141,0.6194,0.623,0.8579,0.9787,0.7051,0.589,0.9075,1.5394,0.6339,1.0865,0.7515,1.5874,0.6148,1.7259,0.7372,2.6442,0.0826,6.5869,0.119,2.9127,0.2816,9.5734,0.0091,0.8781,0.0811,0.6771,0.0865,0.8781,0.1343,0.8913,0.0454,0.6677,0.03,0.6474,0.1753,0.3086,0.0444,0.4657,0.0427,0.5301,0.0287,0.4868,0.0629,0.4704,0.0417,0.2112,0.1108,20.71,33.29,27.57,30.0,57.14,42.86,28.57,28.57,71.43,57.14,28.57,14.29,71.43,71.43,100.0,71.43,0.0,28.57,71.43,42.86,28.57,57.14,100.0,71.43,0.0,14.29,100.0,85.71,0.0,28.57,71.43,57.14,28.57,42.86,42.86,14.29,42.86,14.29,85.71,71.43,85.71,85.71,225.3279,0.5779,228.9476,0.6549
7,BRAZIL - SERIE A BETANO,2024-11-27,01:30,Palmeiras,Botafogo RJ,2.0,3.3,3.6,1.5,2.5,1.4,3.0,2.25,1.62,1.95,1.8,0.5,0.303,0.2778,0.6667,0.4,0.7143,0.3333,0.4444,0.6173,0.5128,0.5556,0.6061,0.5556,1.65,0.9167,1.8,1.0909,1.6,1.3,0.3,38.6598,33.0239,8.5308,0.4444,0.3939,0.0833,2.3521,0.533,1.9314,0.6684,1.5033,0.2051,0.6976,0.5867,1.2438,1.2155,0.6511,1.2084,0.1324,2.855,0.542,1.4517,2.3697,0.7649,1.5332,0.8299,0.8664,1.0384,0.8356,1.454,3.4615,0.1064,2.9144,0.154,1.2957,0.1664,1.1929,0.4807,1.5574,0.1014,0.8612,0.0928,0.7717,0.092,0.504,0.0796,0.4751,0.173,0.6415,0.0497,0.5538,0.0229,0.3886,0.0674,0.5118,0.0598,0.5069,0.0164,0.6862,0.0143,0.4366,0.035,26.14,33.14,41.71,8.29,42.86,14.29,42.86,71.43,42.86,14.29,42.86,28.57,42.86,42.86,71.43,57.14,28.57,42.86,42.86,42.86,57.14,57.14,100.0,42.86,0.0,14.29,100.0,85.71,0.0,57.14,71.43,42.86,28.57,57.14,57.14,28.57,71.43,57.14,85.71,85.71,57.14,42.86,315.3861,0.3198,260.5848,0.5988
8,COLOMBIA - PRIMERA A,2024-11-27,02:00,Santa Fe,Millonarios,2.7,2.9,2.6,1.57,2.25,1.5,2.5,2.6,1.48,2.1,1.67,0.3704,0.3448,0.3846,0.6369,0.4444,0.6667,0.4,0.3846,0.6757,0.4762,0.5988,0.931,1.0385,1.0741,1.1154,0.963,0.8966,0.1,0.2,0.3,-2.8624,5.7106,-8.5308,0.0385,0.069,0.1154,1.4333,0.8746,1.2134,1.246,0.2646,0.9237,-0.0361,-11.7452,0.1963,2.486,0.756,0.9128,0.5055,1.0574,0.5114,1.0452,1.0231,1.0876,1.2024,0.6287,0.7585,0.6434,1.2385,0.7264,2.3529,0.1632,3.0573,0.0865,1.3915,0.1097,2.8431,0.0587,0.9894,0.1146,0.753,0.1113,0.6322,0.0989,0.6102,0.1034,0.5567,0.0859,0.5872,0.061,0.2738,0.0296,0.2365,0.06,0.5931,0.0742,0.5552,0.0297,0.5502,0.0318,0.3632,0.0471,28.14,26.14,25.43,32.29,14.29,57.14,57.14,42.86,28.57,57.14,14.29,14.29,57.14,71.43,57.14,85.71,42.86,14.29,28.57,42.86,71.43,57.14,71.43,71.43,14.29,0.0,85.71,100.0,28.57,28.57,28.57,57.14,71.43,42.86,0.0,42.86,42.86,42.86,71.43,100.0,71.43,71.43,228.7689,0.7049,268.9306,0.3706
24,URUGUAY - PRIMERA DIVISION,2024-11-27,13:45,Fenix,Maldonado,1.91,3.3,3.6,1.5,2.5,1.4,2.75,2.25,1.62,2.0,1.73,0.5236,0.303,0.2778,0.6667,0.4,0.7143,0.3636,0.4444,0.6173,0.5,0.578,0.5788,0.5306,1.7277,0.9167,1.8848,1.0909,1.69,1.39,0.3,40.1978,34.7993,8.5308,0.4694,0.4212,0.0833,1.0894,1.2348,0.5212,2.1756,-0.466,-1.0174,-0.9321,-0.7377,0.2538,1.9228,0.1807,2.0919,1.0562,0.9468,0.1937,1.9515,0.7013,0.6959,0.4404,1.2137,1.1673,1.0409,1.3724,0.6931,1.3357,0.286,1.2215,0.3127,10.6072,0.069,7.1136,0.0345,0.4721,0.1529,0.2701,0.4317,1.0435,0.1052,0.7701,0.1202,0.5961,0.0939,0.4188,0.2607,0.3409,0.0481,0.3631,0.0306,0.4498,0.0396,0.4318,0.0616,0.3727,0.0727,0.2546,0.1701,37.14,9.14,20.86,57.14,0.0,28.57,71.43,14.29,14.29,71.43,28.57,0.0,42.86,28.57,71.43,28.57,28.57,71.43,57.14,0.0,42.86,100.0,57.14,42.86,14.29,0.0,85.71,100.0,42.86,57.14,28.57,14.29,71.43,85.71,14.29,14.29,28.57,14.29,71.43,42.86,57.14,85.71,258.3563,0.5854,350.7758,0.2769
